;Actor;Sex;Emotion;Intensity;Statement;Reps;File;No. Samples;Duration;Hurst Exponent;Sample Rate
26;Actor_01;Man;Sad;Strong;Dogs are sitting by the door;1;03-01-04-02-02-01-01.wav;82403;3.737097505668934;0.514999;22050.0
27;Actor_01;Man;Sad;Strong;Dogs are sitting by the door;2;03-01-04-02-02-02-01.wav;82403;3.737097505668934;0.5357474;22050.0
28;Actor_01;Man;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-01.wav;85346;3.870566893424036;0.4980216;22050.0
29;Actor_01;Man;Angry;Normal;Kids are talking by the door;2;03-01-05-01-01-02-01.wav;86817;3.937278911564626;0.4185687;22050.0
30;Actor_01;Man;Angry;Normal;Dogs are sitting by the door;1;03-01-05-01-02-01-01.wav;77253;3.5035374149659866;0.57402104;22050.0
31;Actor_01;Man;Angry;Normal;Dogs are sitting by the door;2;03-01-05-01-02-02-01.wav;82403;3.737097505668934;0.5558519;22050.0
32;Actor_01;Man;Angry;Strong;Kids are talking by the door;1;03-01-05-02-01-01-01.wav;90496;4.104126984126984;0.45679972;22050.0
33;Actor_01;Man;Angry;Strong;Kids are talking by the door;2;03-01-05-02-01-02-01.wav;96382;4.3710657596371885;0.29651567;22050.0
34;Actor_01;Man;Angry;Strong;Dogs are sitting by the door;1;03-01-05-02-02-01-01.wav;91231;4.1374603174603175;0.3188509;22050.0
35;Actor_01;Man;Angry;Strong;Dogs are sitting by the door;2;03-01-05-02-02-02-01.wav;97853;4.437777777777778;0.26667535;22050.0
36;Actor_01;Man;Fearful;Normal;Kids are talking by the door;1;03-01-06-01-01-01-01.wav;80931;3.670340136054422;0.68737125;22050.0
37;Actor_01;Man;Fearful;Normal;Kids are talking by the door;2;03-01-06-01-01-02-01.wav;80196;3.637006802721088;0.549278;22050.0
38;Actor_01;Man;Fearful;Normal;Dogs are sitting by the door;1;03-01-06-01-02-01-01.wav;75781;3.436780045351474;0.72860765;22050.0
39;Actor_01;Man;Fearful;Normal;Dogs are sitting by the door;2;03-01-06-01-02-02-01.wav;81667;3.703718820861678;0.6735203;22050.0
40;Actor_01;Man;Fearful;Strong;Kids are talking by the door;1;03-01-06-02-01-01-01.wav;110361;5.005034013605442;0.6331838;22050.0
41;Actor_01;Man;Fearful;Strong;Kids are talking by the door;2;03-01-06-02-01-02-01.wav;93439;4.237596371882086;0.4449394;22050.0
42;Actor_01;Man;Fearful;Strong;Dogs are sitting by the door;1;03-01-06-02-02-01-01.wav;87553;3.970657596371882;0.4892678;22050.0
43;Actor_01;Man;Fearful;Strong;Dogs are sitting by the door;2;03-01-06-02-02-02-01.wav;86082;3.903945578231293;0.5511063;22050.0
44;Actor_01;Man;Disgust;Normal;Kids are talking by the door;1;03-01-07-01-01-01-01.wav;85345;3.870521541950113;0.46764755;22050.0
45;Actor_01;Man;Disgust;Normal;Kids are talking by the door;2;03-01-07-01-01-02-01.wav;86081;3.9039002267573695;0.48377806;22050.0
46;Actor_01;Man;Disgust;Normal;Dogs are sitting by the door;1;03-01-07-01-02-01-01.wav;86081;3.9039002267573695;0.5570351;22050.0
47;Actor_01;Man;Disgust;Normal;Dogs are sitting by the door;2;03-01-07-01-02-02-01.wav;84610;3.83718820861678;0.58378696;22050.0
48;Actor_01;Man;Disgust;Strong;Kids are talking by the door;1;03-01-07-02-01-01-01.wav;94910;4.304308390022676;0.36842608;22050.0
49;Actor_01;Man;Disgust;Strong;Kids are talking by the door;2;03-01-07-02-01-02-01.wav;90496;4.104126984126984;0.3523419;22050.0
50;Actor_01;Man;Disgust;Strong;Dogs are sitting by the door;1;03-01-07-02-02-01-01.wav;89025;4.037414965986395;0.40812704;22050.0
51;Actor_01;Man;Disgust;Strong;Dogs are sitting by the door;2;03-01-07-02-02-02-01.wav;96382;4.3710657596371885;0.49513587;22050.0
52;Actor_01;Man;Surprised;Normal;Kids are talking by the door;1;03-01-08-01-01-01-01.wav;75045;3.4034013605442177;0.524351;22050.0
53;Actor_01;Man;Surprised;Normal;Kids are talking by the door;2;03-01-08-01-01-02-01.wav;72102;3.269931972789116;0.5987708;22050.0
54;Actor_01;Man;Surprised;Normal;Dogs are sitting by the door;1;03-01-08-01-02-01-01.wav;77989;3.5369160997732427;0.5878914;22050.0
55;Actor_01;Man;Surprised;Normal;Dogs are sitting by the door;2;03-01-08-01-02-02-01.wav;72102;3.269931972789116;0.5431103;22050.0
56;Actor_01;Man;Surprised;Strong;Kids are talking by the door;1;03-01-08-02-01-01-01.wav;75781;3.436780045351474;0.6094877;22050.0
57;Actor_01;Man;Surprised;Strong;Kids are talking by the door;2;03-01-08-02-01-02-01.wav;78724;3.570249433106576;0.55999947;22050.0
58;Actor_01;Man;Surprised;Strong;Dogs are sitting by the door;1;03-01-08-02-02-01-01.wav;77253;3.5035374149659866;0.53816164;22050.0
59;Actor_01;Man;Surprised;Strong;Dogs are sitting by the door;2;03-01-08-02-02-02-01.wav;72103;3.2699773242630386;0.6412116;22050.0
60;Actor_02;Woman;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-02.wav;80195;3.6369614512471657;0.47789097;22050.0
61;Actor_02;Woman;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-02.wav;79460;3.603628117913832;0.52961165;22050.0
62;Actor_02;Woman;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-02.wav;83138;3.7704308390022674;0.5300705;22050.0
63;Actor_02;Woman;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-02.wav;79460;3.603628117913832;0.47773373;22050.0
64;Actor_02;Woman;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-02.wav;84610;3.83718820861678;0.57534426;22050.0
65;Actor_02;Woman;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-02.wav;88289;4.004036281179138;0.4105123;22050.0
66;Actor_02;Woman;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-02.wav;84610;3.83718820861678;0.5113008;22050.0
67;Actor_02;Woman;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-02.wav;87553;3.970657596371882;0.33081385;22050.0
68;Actor_02;Woman;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-02.wav;91232;4.13750566893424;0.40199235;22050.0
69;Actor_02;Woman;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-02.wav;89025;4.037414965986395;0.31709683;22050.0
70;Actor_02;Woman;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-02.wav;90496;4.104126984126984;0.31596813;22050.0
71;Actor_02;Woman;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-02.wav;90496;4.104126984126984;0.3397385;22050.0
72;Actor_02;Woman;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-02.wav;79460;3.603628117913832;0.40796122;22050.0
73;Actor_02;Woman;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-02.wav;81667;3.703718820861678;0.446704;22050.0
74;Actor_02;Woman;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-02.wav;83139;3.7704761904761903;0.37851426;22050.0
75;Actor_02;Woman;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-02.wav;82403;3.737097505668934;0.4299862;22050.0
76;Actor_02;Woman;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-02.wav;81667;3.703718820861678;0.38353625;22050.0
77;Actor_02;Woman;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-02.wav;80931;3.670340136054422;0.40590364;22050.0
78;Actor_02;Woman;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-02.wav;81667;3.703718820861678;0.4074906;22050.0
79;Actor_02;Woman;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-02.wav;85345;3.870521541950113;0.4125999;22050.0
80;Actor_02;Woman;Sad;Normal;Kids are talking by the door;1;03-01-04-01-01-01-02.wav;84610;3.83718820861678;0.41416848;22050.0
81;Actor_02;Woman;Sad;Normal;Kids are talking by the door;2;03-01-04-01-01-02-02.wav;83139;3.7704761904761903;0.41036642;22050.0
82;Actor_02;Woman;Sad;Normal;Dogs are sitting by the door;1;03-01-04-01-02-01-02.wav;82403;3.737097505668934;0.4141621;22050.0
83;Actor_02;Woman;Sad;Normal;Dogs are sitting by the door;2;03-01-04-01-02-02-02.wav;83139;3.7704761904761903;0.4119242;22050.0
84;Actor_02;Woman;Sad;Strong;Kids are talking by the door;1;03-01-04-02-01-01-02.wav;82403;3.737097505668934;0.37369373;22050.0
85;Actor_02;Woman;Sad;Strong;Kids are talking by the door;2;03-01-04-02-01-02-02.wav;83138;3.7704308390022674;0.3887386;22050.0
86;Actor_02;Woman;Sad;Strong;Dogs are sitting by the door;1;03-01-04-02-02-01-02.wav;81667;3.703718820861678;0.3517649;22050.0
87;Actor_02;Woman;Sad;Strong;Dogs are sitting by the door;2;03-01-04-02-02-02-02.wav;80931;3.670340136054422;0.33499092;22050.0
88;Actor_02;Woman;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-02.wav;80931;3.670340136054422;0.561175;22050.0
89;Actor_02;Woman;Angry;Normal;Kids are talking by the door;2;03-01-05-01-01-02-02.wav;80931;3.670340136054422;0.52866685;22050.0
90;Actor_02;Woman;Angry;Normal;Dogs are sitting by the door;1;03-01-05-01-02-01-02.wav;83138;3.7704308390022674;0.51605415;22050.0
91;Actor_02;Woman;Angry;Normal;Dogs are sitting by the door;2;03-01-05-01-02-02-02.wav;83874;3.803809523809524;0.44480166;22050.0
92;Actor_02;Woman;Angry;Strong;Kids are talking by the door;1;03-01-05-02-01-01-02.wav;86082;3.903945578231293;0.50484073;22050.0
93;Actor_02;Woman;Angry;Strong;Kids are talking by the door;2;03-01-05-02-01-02-02.wav;88289;4.004036281179138;0.5042956;22050.0
94;Actor_02;Woman;Angry;Strong;Dogs are sitting by the door;1;03-01-05-02-02-01-02.wav;88289;4.004036281179138;0.5025362;22050.0
95;Actor_02;Woman;Angry;Strong;Dogs are sitting by the door;2;03-01-05-02-02-02-02.wav;88289;4.004036281179138;0.46008956;22050.0
96;Actor_02;Woman;Fearful;Normal;Kids are talking by the door;1;03-01-06-01-01-01-02.wav;80196;3.637006802721088;0.29345515;22050.0
97;Actor_02;Woman;Fearful;Normal;Kids are talking by the door;2;03-01-06-01-01-02-02.wav;82403;3.737097505668934;0.27345267;22050.0
98;Actor_02;Woman;Fearful;Normal;Dogs are sitting by the door;1;03-01-06-01-02-01-02.wav;80931;3.670340136054422;0.36800787;22050.0
99;Actor_02;Woman;Fearful;Normal;Dogs are sitting by the door;2;03-01-06-01-02-02-02.wav;82403;3.737097505668934;0.30145913;22050.0
100;Actor_02;Woman;Fearful;Strong;Kids are talking by the door;1;03-01-06-02-01-01-02.wav;83874;3.803809523809524;0.3342409;22050.0
101;Actor_02;Woman;Fearful;Strong;Kids are talking by the door;2;03-01-06-02-01-02-02.wav;80196;3.637006802721088;0.3279997;22050.0
102;Actor_02;Woman;Fearful;Strong;Dogs are sitting by the door;1;03-01-06-02-02-01-02.wav;79460;3.603628117913832;0.37576553;22050.0
103;Actor_02;Woman;Fearful;Strong;Dogs are sitting by the door;2;03-01-06-02-02-02-02.wav;79460;3.603628117913832;0.4685054;22050.0
104;Actor_02;Woman;Disgust;Normal;Kids are talking by the door;1;03-01-07-01-01-01-02.wav;80931;3.670340136054422;0.39529237;22050.0
105;Actor_02;Woman;Disgust;Normal;Kids are talking by the door;2;03-01-07-01-01-02-02.wav;80196;3.637006802721088;0.38887846;22050.0
106;Actor_02;Woman;Disgust;Normal;Dogs are sitting by the door;1;03-01-07-01-02-01-02.wav;85346;3.870566893424036;0.39058363;22050.0
107;Actor_02;Woman;Disgust;Normal;Dogs are sitting by the door;2;03-01-07-01-02-02-02.wav;84610;3.83718820861678;0.3736811;22050.0
108;Actor_02;Woman;Disgust;Strong;Kids are talking by the door;1;03-01-07-02-01-01-02.wav;91231;4.1374603174603175;0.3373064;22050.0
109;Actor_02;Woman;Disgust;Strong;Kids are talking by the door;2;03-01-07-02-01-02-02.wav;91231;4.1374603174603175;0.47986364;22050.0
110;Actor_02;Woman;Disgust;Strong;Dogs are sitting by the door;1;03-01-07-02-02-01-02.wav;88289;4.004036281179138;0.36031193;22050.0
111;Actor_02;Woman;Disgust;Strong;Dogs are sitting by the door;2;03-01-07-02-02-02-02.wav;89025;4.037414965986395;0.4544162;22050.0
112;Actor_02;Woman;Surprised;Normal;Kids are talking by the door;1;03-01-08-01-01-01-02.wav;77988;3.53687074829932;0.6292331;22050.0
113;Actor_02;Woman;Surprised;Normal;Kids are talking by the door;2;03-01-08-01-01-02-02.wav;77988;3.53687074829932;0.46773052;22050.0
114;Actor_02;Woman;Surprised;Normal;Dogs are sitting by the door;1;03-01-08-01-02-01-02.wav;79460;3.603628117913832;0.50671333;22050.0
115;Actor_02;Woman;Surprised;Normal;Dogs are sitting by the door;2;03-01-08-01-02-02-02.wav;77989;3.5369160997732427;0.49266014;22050.0
116;Actor_02;Woman;Surprised;Strong;Kids are talking by the door;1;03-01-08-02-01-01-02.wav;82403;3.737097505668934;0.5509816;22050.0
117;Actor_02;Woman;Surprised;Strong;Kids are talking by the door;2;03-01-08-02-01-02-02.wav;83139;3.7704761904761903;0.565713;22050.0
118;Actor_02;Woman;Surprised;Strong;Dogs are sitting by the door;1;03-01-08-02-02-01-02.wav;82403;3.737097505668934;0.5499549;22050.0
119;Actor_02;Woman;Surprised;Strong;Dogs are sitting by the door;2;03-01-08-02-02-02-02.wav;83875;3.803854875283447;0.3502434;22050.0
120;Actor_03;Man;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-03.wav;75781;3.436780045351474;0.4913454;22050.0
121;Actor_03;Man;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-03.wav;77253;3.5035374149659866;0.7604291;22050.0
122;Actor_03;Man;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-03.wav;77253;3.5035374149659866;0.5491424;22050.0
123;Actor_03;Man;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-03.wav;76517;3.47015873015873;0.52655596;22050.0
124;Actor_03;Man;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-03.wav;84610;3.83718820861678;0.50080615;22050.0
125;Actor_03;Man;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-03.wav;82403;3.737097505668934;0.45097372;22050.0
126;Actor_03;Man;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-03.wav;84610;3.83718820861678;0.5191363;22050.0
127;Actor_03;Man;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-03.wav;87553;3.970657596371882;0.61525184;22050.0
128;Actor_03;Man;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-03.wav;89025;4.037414965986395;0.5804593;22050.0
129;Actor_03;Man;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-03.wav;87553;3.970657596371882;0.4994067;22050.0
130;Actor_03;Man;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-03.wav;91231;4.1374603174603175;0.713144;22050.0
131;Actor_03;Man;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-03.wav;88289;4.004036281179138;0.6337614;22050.0
132;Actor_03;Man;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-03.wav;83138;3.7704308390022674;0.43763697;22050.0
133;Actor_03;Man;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-03.wav;79460;3.603628117913832;0.46014875;22050.0
134;Actor_03;Man;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-03.wav;77253;3.5035374149659866;0.36052728;22050.0
135;Actor_03;Man;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-03.wav;77253;3.5035374149659866;0.40218878;22050.0
136;Actor_03;Man;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-03.wav;94911;4.304353741496598;0.40835404;22050.0
137;Actor_03;Man;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-03.wav;97117;4.404399092970522;0.3686118;22050.0
138;Actor_03;Man;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-03.wav;91231;4.1374603174603175;0.49605468;22050.0
139;Actor_03;Man;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-03.wav;84610;3.83718820861678;0.5438908;22050.0
140;Actor_03;Man;Sad;Normal;Kids are talking by the door;1;03-01-04-01-01-01-03.wav;79460;3.603628117913832;0.5437389;22050.0
141;Actor_03;Man;Sad;Normal;Kids are talking by the door;2;03-01-04-01-01-02-03.wav;78724;3.570249433106576;0.6715117;22050.0
142;Actor_03;Man;Sad;Normal;Dogs are sitting by the door;1;03-01-04-01-02-01-03.wav;78724;3.570249433106576;0.6836183;22050.0
143;Actor_03;Man;Sad;Normal;Dogs are sitting by the door;2;03-01-04-01-02-02-03.wav;77989;3.5369160997732427;0.66575545;22050.0
144;Actor_03;Man;Sad;Strong;Kids are talking by the door;1;03-01-04-02-01-01-03.wav;83139;3.7704761904761903;0.38021213;22050.0
145;Actor_03;Man;Sad;Strong;Kids are talking by the door;2;03-01-04-02-01-02-03.wav;84610;3.83718820861678;0.38423857;22050.0
146;Actor_03;Man;Sad;Strong;Dogs are sitting by the door;1;03-01-04-02-02-01-03.wav;76517;3.47015873015873;0.68978125;22050.0
147;Actor_03;Man;Sad;Strong;Dogs are sitting by the door;2;03-01-04-02-02-02-03.wav;81667;3.703718820861678;0.7045621;22050.0
148;Actor_03;Man;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-03.wav;88289;4.004036281179138;0.46884668;22050.0
149;Actor_03;Man;Angry;Normal;Kids are talking by the door;2;03-01-05-01-01-02-03.wav;89760;4.070748299319728;0.3879554;22050.0
150;Actor_03;Man;Angry;Normal;Dogs are sitting by the door;1;03-01-05-01-02-01-03.wav;83875;3.803854875283447;0.3767292;22050.0
151;Actor_03;Man;Angry;Normal;Dogs are sitting by the door;2;03-01-05-01-02-02-03.wav;84610;3.83718820861678;0.34860477;22050.0
152;Actor_03;Man;Angry;Strong;Kids are talking by the door;1;03-01-05-02-01-01-03.wav;97117;4.404399092970522;0.6276139;22050.0
153;Actor_03;Man;Angry;Strong;Kids are talking by the door;2;03-01-05-02-01-02-03.wav;97118;4.404444444444445;0.5907045;22050.0
154;Actor_03;Man;Angry;Strong;Dogs are sitting by the door;1;03-01-05-02-02-01-03.wav;93439;4.237596371882086;0.60115546;22050.0
155;Actor_03;Man;Angry;Strong;Dogs are sitting by the door;2;03-01-05-02-02-02-03.wav;99325;4.50453514739229;0.5299721;22050.0
156;Actor_03;Man;Fearful;Normal;Kids are talking by the door;1;03-01-06-01-01-01-03.wav;82403;3.737097505668934;0.47663176;22050.0
157;Actor_03;Man;Fearful;Normal;Kids are talking by the door;2;03-01-06-01-01-02-03.wav;84610;3.83718820861678;0.3377871;22050.0
158;Actor_03;Man;Fearful;Normal;Dogs are sitting by the door;1;03-01-06-01-02-01-03.wav;77253;3.5035374149659866;0.42586443;22050.0
159;Actor_03;Man;Fearful;Normal;Dogs are sitting by the door;2;03-01-06-01-02-02-03.wav;70631;3.2032199546485263;0.59722155;22050.0
160;Actor_03;Man;Fearful;Strong;Kids are talking by the door;1;03-01-06-02-01-01-03.wav;72839;3.3033560090702947;0.75498533;22050.0
161;Actor_03;Man;Fearful;Strong;Kids are talking by the door;2;03-01-06-02-01-02-03.wav;86081;3.9039002267573695;0.4739308;22050.0
162;Actor_03;Man;Fearful;Strong;Dogs are sitting by the door;1;03-01-06-02-02-01-03.wav;72839;3.3033560090702947;0.66207445;22050.0
163;Actor_03;Man;Fearful;Strong;Dogs are sitting by the door;2;03-01-06-02-02-02-03.wav;75781;3.436780045351474;0.48749974;22050.0
164;Actor_03;Man;Disgust;Normal;Kids are talking by the door;1;03-01-07-01-01-01-03.wav;89025;4.037414965986395;0.38540477;22050.0
165;Actor_03;Man;Disgust;Normal;Kids are talking by the door;2;03-01-07-01-01-02-03.wav;87553;3.970657596371882;0.41823143;22050.0
166;Actor_03;Man;Disgust;Normal;Dogs are sitting by the door;1;03-01-07-01-02-01-03.wav;79460;3.603628117913832;0.5243161;22050.0
167;Actor_03;Man;Disgust;Normal;Dogs are sitting by the door;2;03-01-07-01-02-02-03.wav;83139;3.7704761904761903;0.37729463;22050.0
168;Actor_03;Man;Disgust;Strong;Kids are talking by the door;1;03-01-07-02-01-01-03.wav;90496;4.104126984126984;0.45579994;22050.0
169;Actor_03;Man;Disgust;Strong;Kids are talking by the door;2;03-01-07-02-01-02-03.wav;90496;4.104126984126984;0.40754366;22050.0
170;Actor_03;Man;Disgust;Strong;Dogs are sitting by the door;1;03-01-07-02-02-01-03.wav;84610;3.83718820861678;0.39401448;22050.0
171;Actor_03;Man;Disgust;Strong;Dogs are sitting by the door;2;03-01-07-02-02-02-03.wav;86817;3.937278911564626;0.38441834;22050.0
172;Actor_03;Man;Surprised;Normal;Kids are talking by the door;1;03-01-08-01-01-01-03.wav;71367;3.2365986394557824;0.38498494;22050.0
173;Actor_03;Man;Surprised;Normal;Kids are talking by the door;2;03-01-08-01-01-02-03.wav;74310;3.3700680272108845;0.6763132;22050.0
174;Actor_03;Man;Surprised;Normal;Dogs are sitting by the door;1;03-01-08-01-02-01-03.wav;70631;3.2032199546485263;0.47860757;22050.0
175;Actor_03;Man;Surprised;Normal;Dogs are sitting by the door;2;03-01-08-01-02-02-03.wav;78724;3.570249433106576;0.47423652;22050.0
176;Actor_03;Man;Surprised;Strong;Kids are talking by the door;1;03-01-08-02-01-01-03.wav;72103;3.2699773242630386;0.4984642;22050.0
177;Actor_03;Man;Surprised;Strong;Kids are talking by the door;2;03-01-08-02-01-02-03.wav;79460;3.603628117913832;0.50323206;22050.0
178;Actor_03;Man;Surprised;Strong;Dogs are sitting by the door;1;03-01-08-02-02-01-03.wav;77253;3.5035374149659866;0.54865897;22050.0
179;Actor_03;Man;Surprised;Strong;Dogs are sitting by the door;2;03-01-08-02-02-02-03.wav;71367;3.2365986394557824;0.4740253;22050.0
180;Actor_04;Woman;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-04.wav;72838;3.303310657596372;0.37052292;22050.0
181;Actor_04;Woman;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-04.wav;74310;3.3700680272108845;0.3434114;22050.0
182;Actor_04;Woman;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-04.wav;72103;3.2699773242630386;0.3636755;22050.0
183;Actor_04;Woman;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-04.wav;71367;3.2365986394557824;0.36597973;22050.0
184;Actor_04;Woman;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-04.wav;83874;3.803809523809524;0.46454534;22050.0
185;Actor_04;Woman;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-04.wav;82403;3.737097505668934;0.44159552;22050.0
186;Actor_04;Woman;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-04.wav;80196;3.637006802721088;0.55579376;22050.0
187;Actor_04;Woman;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-04.wav;78725;3.570294784580499;0.4550292;22050.0
188;Actor_04;Woman;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-04.wav;87553;3.970657596371882;0.27026892;22050.0
189;Actor_04;Woman;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-04.wav;83875;3.803854875283447;0.3216799;22050.0
190;Actor_04;Woman;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-04.wav;83874;3.803809523809524;0.56428564;22050.0
191;Actor_04;Woman;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-04.wav;89025;4.037414965986395;0.31884018;22050.0
