;Actor;Sex;Emotion;Intensity;Statement;Reps;File;No. Samples;Duration;Sample Entropy;Sample Rate
28;Actor_01;Man;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-01.wav;85346;3.870566893424036;0.0058088154;9999.827
29;Actor_01;Man;Angry;Normal;Kids are talking by the door;2;03-01-05-01-01-02-01.wav;86817;3.937278911564626;0.0046105613;9999.8
30;Actor_01;Man;Angry;Normal;Dogs are sitting by the door;1;03-01-05-01-02-01-01.wav;77253;3.5035374149659866;0.0026800346;9999.894
31;Actor_01;Man;Angry;Normal;Dogs are sitting by the door;2;03-01-05-01-02-02-01.wav;82403;3.737097505668934;0.0029791538;10000.007
32;Actor_01;Man;Angry;Strong;Kids are talking by the door;1;03-01-05-02-01-01-01.wav;90496;4.104126984126984;0.0039276937;9999.935
33;Actor_01;Man;Angry;Strong;Kids are talking by the door;2;03-01-05-02-01-02-01.wav;96382;4.3710657596371885;0.010500654;9999.85
34;Actor_01;Man;Angry;Strong;Dogs are sitting by the door;1;03-01-05-02-02-01-01.wav;91231;4.1374603174603175;0.0035249244;9999.8545
35;Actor_01;Man;Angry;Strong;Dogs are sitting by the door;2;03-01-05-02-02-02-01.wav;97853;4.437777777777778;0.0055454033;9999.825
36;Actor_01;Man;Fearful;Normal;Kids are talking by the door;1;03-01-06-01-01-01-01.wav;80931;3.670340136054422;0.004931263;9999.891
37;Actor_01;Man;Fearful;Normal;Kids are talking by the door;2;03-01-06-01-01-02-01.wav;80196;3.637006802721088;0.0039436994;9999.981
38;Actor_01;Man;Fearful;Normal;Dogs are sitting by the door;1;03-01-06-01-02-01-01.wav;75781;3.436780045351474;0.0027812046;9999.768
39;Actor_01;Man;Fearful;Normal;Dogs are sitting by the door;2;03-01-06-01-02-02-01.wav;81667;3.703718820861678;0.0035848217;9999.949
40;Actor_01;Man;Fearful;Strong;Kids are talking by the door;1;03-01-06-02-01-01-01.wav;110361;5.005034013605442;0.0049215457;9999.932
41;Actor_01;Man;Fearful;Strong;Kids are talking by the door;2;03-01-06-02-01-02-01.wav;93439;4.237596371882086;0.0060523534;10000.009
42;Actor_01;Man;Fearful;Strong;Dogs are sitting by the door;1;03-01-06-02-02-01-01.wav;87553;3.970657596371882;0.0028295736;9999.8545
43;Actor_01;Man;Fearful;Strong;Dogs are sitting by the door;2;03-01-06-02-02-02-01.wav;86082;3.903945578231293;0.0037649495;9999.883
44;Actor_01;Man;Disgust;Normal;Kids are talking by the door;1;03-01-07-01-01-01-01.wav;85345;3.870521541950113;0.007075647;9999.944
45;Actor_01;Man;Disgust;Normal;Kids are talking by the door;2;03-01-07-01-01-02-01.wav;86081;3.9039002267573695;0.005023784;9999.999
46;Actor_01;Man;Disgust;Normal;Dogs are sitting by the door;1;03-01-07-01-02-01-01.wav;86081;3.9039002267573695;0.0050974563;9999.999
47;Actor_01;Man;Disgust;Normal;Dogs are sitting by the door;2;03-01-07-01-02-02-01.wav;84610;3.83718820861678;0.0042127343;10000.03
48;Actor_01;Man;Disgust;Strong;Kids are talking by the door;1;03-01-07-02-01-01-01.wav;94910;4.304308390022676;0.006756584;9999.98
49;Actor_01;Man;Disgust;Strong;Kids are talking by the door;2;03-01-07-02-01-02-01.wav;90496;4.104126984126984;0.005797929;9999.935
50;Actor_01;Man;Disgust;Strong;Dogs are sitting by the door;1;03-01-07-02-02-01-01.wav;89025;4.037414965986395;0.008521965;9999.963
51;Actor_01;Man;Disgust;Strong;Dogs are sitting by the door;2;03-01-07-02-02-02-01.wav;96382;4.3710657596371885;0.0036818678;9999.85
52;Actor_01;Man;Surprised;Normal;Kids are talking by the door;1;03-01-08-01-01-01-01.wav;75045;3.4034013605442177;0.0051691607;9999.996
53;Actor_01;Man;Surprised;Normal;Kids are talking by the door;2;03-01-08-01-01-02-01.wav;72102;3.269931972789116;0.00407431;9999.902
54;Actor_01;Man;Surprised;Normal;Dogs are sitting by the door;1;03-01-08-01-02-01-01.wav;77989;3.5369160997732427;0.0032799602;9999.954
55;Actor_01;Man;Surprised;Normal;Dogs are sitting by the door;2;03-01-08-01-02-02-01.wav;72102;3.269931972789116;0.0022251091;9999.902
56;Actor_01;Man;Surprised;Strong;Kids are talking by the door;1;03-01-08-02-01-01-01.wav;75781;3.436780045351474;0.0027282329;9999.768
57;Actor_01;Man;Surprised;Strong;Kids are talking by the door;2;03-01-08-02-01-02-01.wav;78724;3.570249433106576;0.00409945;9999.861
58;Actor_01;Man;Surprised;Strong;Dogs are sitting by the door;1;03-01-08-02-02-01-01.wav;77253;3.5035374149659866;0.00315604;9999.894
59;Actor_01;Man;Surprised;Strong;Dogs are sitting by the door;2;03-01-08-02-02-02-01.wav;72103;3.2699773242630386;0.0017661669;9999.764
60;Actor_02;Woman;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-02.wav;80195;3.6369614512471657;0.006404919;9999.831
61;Actor_02;Woman;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-02.wav;79460;3.603628117913832;0.0048464164;9999.922
62;Actor_02;Woman;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-02.wav;83138;3.7704308390022674;0.0055329534;9999.918
63;Actor_02;Woman;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-02.wav;79460;3.603628117913832;0.005326326;9999.922
64;Actor_02;Woman;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-02.wav;84610;3.83718820861678;0.0075253323;10000.03
65;Actor_02;Woman;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-02.wav;88289;4.004036281179138;0.004194642;9999.909
66;Actor_02;Woman;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-02.wav;84610;3.83718820861678;0.0041765533;10000.03
67;Actor_02;Woman;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-02.wav;87553;3.970657596371882;0.004729692;9999.8545
68;Actor_02;Woman;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-02.wav;91232;4.13750566893424;0.008333399;9999.986
69;Actor_02;Woman;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-02.wav;89025;4.037414965986395;0.0068403436;9999.963
70;Actor_02;Woman;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-02.wav;90496;4.104126984126984;0.006045009;9999.935
71;Actor_02;Woman;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-02.wav;90496;4.104126984126984;0.0056622736;9999.935
72;Actor_02;Woman;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-02.wav;79460;3.603628117913832;0.004207739;9999.922
73;Actor_02;Woman;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-02.wav;81667;3.703718820861678;0.0058209086;9999.949
74;Actor_02;Woman;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-02.wav;83139;3.7704761904761903;0.004187685;9999.798
75;Actor_02;Woman;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-02.wav;82403;3.737097505668934;0.004791648;10000.007
76;Actor_02;Woman;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-02.wav;81667;3.703718820861678;0.0045611993;9999.949
77;Actor_02;Woman;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-02.wav;80931;3.670340136054422;0.0048061945;9999.891
78;Actor_02;Woman;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-02.wav;81667;3.703718820861678;0.0044131232;9999.949
79;Actor_02;Woman;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-02.wav;85345;3.870521541950113;0.0032607988;9999.944
80;Actor_02;Woman;Sad;Normal;Kids are talking by the door;1;03-01-04-01-01-01-02.wav;84610;3.83718820861678;0.002597349;10000.03
81;Actor_02;Woman;Sad;Normal;Kids are talking by the door;2;03-01-04-01-01-02-02.wav;83139;3.7704761904761903;0.0026315674;9999.798
82;Actor_02;Woman;Sad;Normal;Dogs are sitting by the door;1;03-01-04-01-02-01-02.wav;82403;3.737097505668934;0.0031153376;10000.007
83;Actor_02;Woman;Sad;Normal;Dogs are sitting by the door;2;03-01-04-01-02-02-02.wav;83139;3.7704761904761903;0.002233387;9999.798
84;Actor_02;Woman;Sad;Strong;Kids are talking by the door;1;03-01-04-02-01-01-02.wav;82403;3.737097505668934;0.0060145888;10000.007
85;Actor_02;Woman;Sad;Strong;Kids are talking by the door;2;03-01-04-02-01-02-02.wav;83138;3.7704308390022674;0.0036703807;9999.918
86;Actor_02;Woman;Sad;Strong;Dogs are sitting by the door;1;03-01-04-02-02-01-02.wav;81667;3.703718820861678;0.0027743236;9999.949
87;Actor_02;Woman;Sad;Strong;Dogs are sitting by the door;2;03-01-04-02-02-02-02.wav;80931;3.670340136054422;0.002640347;9999.891
88;Actor_02;Woman;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-02.wav;80931;3.670340136054422;0.0034677517;9999.891
89;Actor_02;Woman;Angry;Normal;Kids are talking by the door;2;03-01-05-01-01-02-02.wav;80931;3.670340136054422;0.0042177243;9999.891
90;Actor_02;Woman;Angry;Normal;Dogs are sitting by the door;1;03-01-05-01-02-01-02.wav;83138;3.7704308390022674;0.0035696225;9999.918
91;Actor_02;Woman;Angry;Normal;Dogs are sitting by the door;2;03-01-05-01-02-02-02.wav;83874;3.803809523809524;0.005107864;9999.975
92;Actor_02;Woman;Angry;Strong;Kids are talking by the door;1;03-01-05-02-01-01-02.wav;86082;3.903945578231293;0.0040567154;9999.883
93;Actor_02;Woman;Angry;Strong;Kids are talking by the door;2;03-01-05-02-01-02-02.wav;88289;4.004036281179138;0.0036783386;9999.909
94;Actor_02;Woman;Angry;Strong;Dogs are sitting by the door;1;03-01-05-02-02-01-02.wav;88289;4.004036281179138;0.0032911936;9999.909
95;Actor_02;Woman;Angry;Strong;Dogs are sitting by the door;2;03-01-05-02-02-02-02.wav;88289;4.004036281179138;0.004750189;9999.909
96;Actor_02;Woman;Fearful;Normal;Kids are talking by the door;1;03-01-06-01-01-01-02.wav;80196;3.637006802721088;0.002899041;9999.981
97;Actor_02;Woman;Fearful;Normal;Kids are talking by the door;2;03-01-06-01-01-02-02.wav;82403;3.737097505668934;0.0026016084;10000.007
98;Actor_02;Woman;Fearful;Normal;Dogs are sitting by the door;1;03-01-06-01-02-01-02.wav;80931;3.670340136054422;0.0022498632;9999.891
99;Actor_02;Woman;Fearful;Normal;Dogs are sitting by the door;2;03-01-06-01-02-02-02.wav;82403;3.737097505668934;0.0015902452;10000.007
100;Actor_02;Woman;Fearful;Strong;Kids are talking by the door;1;03-01-06-02-01-01-02.wav;83874;3.803809523809524;0.0054200348;9999.975
101;Actor_02;Woman;Fearful;Strong;Kids are talking by the door;2;03-01-06-02-01-02-02.wav;80196;3.637006802721088;0.0047803293;9999.981
102;Actor_02;Woman;Fearful;Strong;Dogs are sitting by the door;1;03-01-06-02-02-01-02.wav;79460;3.603628117913832;0.0034714034;9999.922
103;Actor_02;Woman;Fearful;Strong;Dogs are sitting by the door;2;03-01-06-02-02-02-02.wav;79460;3.603628117913832;0.0030791478;9999.922
104;Actor_02;Woman;Disgust;Normal;Kids are talking by the door;1;03-01-07-01-01-01-02.wav;80931;3.670340136054422;0.004450111;9999.891
105;Actor_02;Woman;Disgust;Normal;Kids are talking by the door;2;03-01-07-01-01-02-02.wav;80196;3.637006802721088;0.0056411303;9999.981
106;Actor_02;Woman;Disgust;Normal;Dogs are sitting by the door;1;03-01-07-01-02-01-02.wav;85346;3.870566893424036;0.004680369;9999.827
107;Actor_02;Woman;Disgust;Normal;Dogs are sitting by the door;2;03-01-07-01-02-02-02.wav;84610;3.83718820861678;0.0033244435;10000.03
108;Actor_02;Woman;Disgust;Strong;Kids are talking by the door;1;03-01-07-02-01-01-02.wav;91231;4.1374603174603175;0.008467516;9999.8545
109;Actor_02;Woman;Disgust;Strong;Kids are talking by the door;2;03-01-07-02-01-02-02.wav;91231;4.1374603174603175;0.009151441;9999.8545
110;Actor_02;Woman;Disgust;Strong;Dogs are sitting by the door;1;03-01-07-02-02-01-02.wav;88289;4.004036281179138;0.0026007341;9999.909
111;Actor_02;Woman;Disgust;Strong;Dogs are sitting by the door;2;03-01-07-02-02-02-02.wav;89025;4.037414965986395;0.0065715453;9999.963
112;Actor_02;Woman;Surprised;Normal;Kids are talking by the door;1;03-01-08-01-01-01-02.wav;77988;3.53687074829932;0.00247961;9999.8
113;Actor_02;Woman;Surprised;Normal;Kids are talking by the door;2;03-01-08-01-01-02-02.wav;77988;3.53687074829932;0.0022620307;9999.8
114;Actor_02;Woman;Surprised;Normal;Dogs are sitting by the door;1;03-01-08-01-02-01-02.wav;79460;3.603628117913832;0.0015672062;9999.922
115;Actor_02;Woman;Surprised;Normal;Dogs are sitting by the door;2;03-01-08-01-02-02-02.wav;77989;3.5369160997732427;0.001186874;9999.954
116;Actor_02;Woman;Surprised;Strong;Kids are talking by the door;1;03-01-08-02-01-01-02.wav;82403;3.737097505668934;0.0028952647;10000.007
117;Actor_02;Woman;Surprised;Strong;Kids are talking by the door;2;03-01-08-02-01-02-02.wav;83139;3.7704761904761903;0.0028909096;9999.798
118;Actor_02;Woman;Surprised;Strong;Dogs are sitting by the door;1;03-01-08-02-02-01-02.wav;82403;3.737097505668934;0.0022948347;10000.007
119;Actor_02;Woman;Surprised;Strong;Dogs are sitting by the door;2;03-01-08-02-02-02-02.wav;83875;3.803854875283447;0.0020701203;9999.855
120;Actor_03;Man;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-03.wav;75781;3.436780045351474;0.0044075605;9999.768
121;Actor_03;Man;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-03.wav;77253;3.5035374149659866;0.00477039;9999.894
122;Actor_03;Man;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-03.wav;77253;3.5035374149659866;0.003324256;9999.894
123;Actor_03;Man;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-03.wav;76517;3.47015873015873;0.003573127;9999.831
124;Actor_03;Man;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-03.wav;84610;3.83718820861678;0.005578937;10000.03
125;Actor_03;Man;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-03.wav;82403;3.737097505668934;0.005956356;10000.007
126;Actor_03;Man;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-03.wav;84610;3.83718820861678;0.0043007988;10000.03
127;Actor_03;Man;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-03.wav;87553;3.970657596371882;0.0041834908;9999.8545
128;Actor_03;Man;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-03.wav;89025;4.037414965986395;0.018485732;9999.963
129;Actor_03;Man;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-03.wav;87553;3.970657596371882;0.006181465;9999.8545
130;Actor_03;Man;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-03.wav;91231;4.1374603174603175;0.004569426;9999.8545
131;Actor_03;Man;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-03.wav;88289;4.004036281179138;0.0044687665;9999.909
132;Actor_03;Man;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-03.wav;83138;3.7704308390022674;0.005190966;9999.918
133;Actor_03;Man;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-03.wav;79460;3.603628117913832;0.003798431;9999.922
134;Actor_03;Man;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-03.wav;77253;3.5035374149659866;0.00200492;9999.894
135;Actor_03;Man;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-03.wav;77253;3.5035374149659866;0.0025874858;9999.894
136;Actor_03;Man;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-03.wav;94911;4.304353741496598;0.0054533025;9999.875
137;Actor_03;Man;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-03.wav;97117;4.404399092970522;0.0057426286;10000.002
138;Actor_03;Man;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-03.wav;91231;4.1374603174603175;0.007887476;9999.8545
139;Actor_03;Man;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-03.wav;84610;3.83718820861678;0.00457956;10000.03
140;Actor_03;Man;Sad;Normal;Kids are talking by the door;1;03-01-04-01-01-01-03.wav;79460;3.603628117913832;0.006543942;9999.922
141;Actor_03;Man;Sad;Normal;Kids are talking by the door;2;03-01-04-01-01-02-03.wav;78724;3.570249433106576;0.0075618974;9999.861
142;Actor_03;Man;Sad;Normal;Dogs are sitting by the door;1;03-01-04-01-02-01-03.wav;78724;3.570249433106576;0.0055842684;9999.861
143;Actor_03;Man;Sad;Normal;Dogs are sitting by the door;2;03-01-04-01-02-02-03.wav;77989;3.5369160997732427;0.0085215075;9999.954
144;Actor_03;Man;Sad;Strong;Kids are talking by the door;1;03-01-04-02-01-01-03.wav;83139;3.7704761904761903;0.00765555;9999.798
145;Actor_03;Man;Sad;Strong;Kids are talking by the door;2;03-01-04-02-01-02-03.wav;84610;3.83718820861678;0.0044525485;10000.03
146;Actor_03;Man;Sad;Strong;Dogs are sitting by the door;1;03-01-04-02-02-01-03.wav;76517;3.47015873015873;0.010010197;9999.831
147;Actor_03;Man;Sad;Strong;Dogs are sitting by the door;2;03-01-04-02-02-02-03.wav;81667;3.703718820861678;0.009002356;9999.949
148;Actor_03;Man;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-03.wav;88289;4.004036281179138;0.007098867;9999.909
149;Actor_03;Man;Angry;Normal;Kids are talking by the door;2;03-01-05-01-01-02-03.wav;89760;4.070748299319728;0.006700625;9999.882
150;Actor_03;Man;Angry;Normal;Dogs are sitting by the door;1;03-01-05-01-02-01-03.wav;83875;3.803854875283447;0.00627491;9999.855
151;Actor_03;Man;Angry;Normal;Dogs are sitting by the door;2;03-01-05-01-02-02-03.wav;84610;3.83718820861678;0.0029664924;10000.03
152;Actor_03;Man;Angry;Strong;Kids are talking by the door;1;03-01-05-02-01-01-03.wav;97117;4.404399092970522;0.005476558;10000.002
153;Actor_03;Man;Angry;Strong;Kids are talking by the door;2;03-01-05-02-01-02-03.wav;97118;4.404444444444445;0.006174854;9999.899
154;Actor_03;Man;Angry;Strong;Dogs are sitting by the door;1;03-01-05-02-02-01-03.wav;93439;4.237596371882086;0.006640109;10000.009
155;Actor_03;Man;Angry;Strong;Dogs are sitting by the door;2;03-01-05-02-02-02-03.wav;99325;4.50453514739229;0.00861376;9999.922
156;Actor_03;Man;Fearful;Normal;Kids are talking by the door;1;03-01-06-01-01-01-03.wav;82403;3.737097505668934;0.008704618;10000.007
157;Actor_03;Man;Fearful;Normal;Kids are talking by the door;2;03-01-06-01-01-02-03.wav;84610;3.83718820861678;0.008937504;10000.03
158;Actor_03;Man;Fearful;Normal;Dogs are sitting by the door;1;03-01-06-01-02-01-03.wav;77253;3.5035374149659866;0.004024192;9999.894
159;Actor_03;Man;Fearful;Normal;Dogs are sitting by the door;2;03-01-06-01-02-02-03.wav;70631;3.2032199546485263;0.004535474;9999.9375
160;Actor_03;Man;Fearful;Strong;Kids are talking by the door;1;03-01-06-02-01-01-03.wav;72839;3.3033560090702947;0.017098324;9999.83
161;Actor_03;Man;Fearful;Strong;Kids are talking by the door;2;03-01-06-02-01-02-03.wav;86081;3.9039002267573695;0.010354076;9999.999
162;Actor_03;Man;Fearful;Strong;Dogs are sitting by the door;1;03-01-06-02-02-01-03.wav;72839;3.3033560090702947;0.005444158;9999.83
163;Actor_03;Man;Fearful;Strong;Dogs are sitting by the door;2;03-01-06-02-02-02-03.wav;75781;3.436780045351474;0.004701813;9999.768
164;Actor_03;Man;Disgust;Normal;Kids are talking by the door;1;03-01-07-01-01-01-03.wav;89025;4.037414965986395;0.010402232;9999.963
165;Actor_03;Man;Disgust;Normal;Kids are talking by the door;2;03-01-07-01-01-02-03.wav;87553;3.970657596371882;0.008353134;9999.8545
166;Actor_03;Man;Disgust;Normal;Dogs are sitting by the door;1;03-01-07-01-02-01-03.wav;79460;3.603628117913832;0.0020520715;9999.922
167;Actor_03;Man;Disgust;Normal;Dogs are sitting by the door;2;03-01-07-01-02-02-03.wav;83139;3.7704761904761903;0.006605263;9999.798
168;Actor_03;Man;Disgust;Strong;Kids are talking by the door;1;03-01-07-02-01-01-03.wav;90496;4.104126984126984;0.008062534;9999.935
169;Actor_03;Man;Disgust;Strong;Kids are talking by the door;2;03-01-07-02-01-02-03.wav;90496;4.104126984126984;0.016252002;9999.935
170;Actor_03;Man;Disgust;Strong;Dogs are sitting by the door;1;03-01-07-02-02-01-03.wav;84610;3.83718820861678;0.01396192;10000.03
171;Actor_03;Man;Disgust;Strong;Dogs are sitting by the door;2;03-01-07-02-02-02-03.wav;86817;3.937278911564626;0.007794011;9999.8
172;Actor_03;Man;Surprised;Normal;Kids are talking by the door;1;03-01-08-01-01-01-03.wav;71367;3.2365986394557824;0.0044732247;10000.004
173;Actor_03;Man;Surprised;Normal;Kids are talking by the door;2;03-01-08-01-01-02-03.wav;74310;3.3700680272108845;0.002059405;9999.798
174;Actor_03;Man;Surprised;Normal;Dogs are sitting by the door;1;03-01-08-01-02-01-03.wav;70631;3.2032199546485263;0.0011355169;9999.9375
175;Actor_03;Man;Surprised;Normal;Dogs are sitting by the door;2;03-01-08-01-02-02-03.wav;78724;3.570249433106576;0.0032314805;9999.861
176;Actor_03;Man;Surprised;Strong;Kids are talking by the door;1;03-01-08-02-01-01-03.wav;72103;3.2699773242630386;0.0034176353;9999.764
177;Actor_03;Man;Surprised;Strong;Kids are talking by the door;2;03-01-08-02-01-02-03.wav;79460;3.603628117913832;0.003957169;9999.922
178;Actor_03;Man;Surprised;Strong;Dogs are sitting by the door;1;03-01-08-02-02-01-03.wav;77253;3.5035374149659866;0.0029470634;9999.894
179;Actor_03;Man;Surprised;Strong;Dogs are sitting by the door;2;03-01-08-02-02-02-03.wav;71367;3.2365986394557824;0.0026734138;10000.004
180;Actor_04;Woman;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-04.wav;72838;3.303310657596372;0.0033536216;9999.968
181;Actor_04;Woman;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-04.wav;74310;3.3700680272108845;0.0037159212;9999.798
182;Actor_04;Woman;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-04.wav;72103;3.2699773242630386;0.0023597118;9999.764
183;Actor_04;Woman;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-04.wav;71367;3.2365986394557824;0.002678767;10000.004
184;Actor_04;Woman;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-04.wav;83874;3.803809523809524;0.004123441;9999.975
185;Actor_04;Woman;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-04.wav;82403;3.737097505668934;0.0027727576;10000.007
186;Actor_04;Woman;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-04.wav;80196;3.637006802721088;0.0029649101;9999.981
187;Actor_04;Woman;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-04.wav;78725;3.570294784580499;0.0036843212;10000.015
188;Actor_04;Woman;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-04.wav;87553;3.970657596371882;0.0052915458;9999.8545
189;Actor_04;Woman;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-04.wav;83875;3.803854875283447;0.004122418;9999.855
